Display Name,Volume_OCID,Size (in GB),Lifecycle State,Instance Name
DRVH-OLIVE-DB-4-190-OPT,ocid1.volume.oc1.iad.abuwcljtceuckqnsujpz52uqnddks7joeu6peqqrliskkuucsrbmkazriyiq,100,AVAILABLE,
DRREPKADIYA-5.42,ocid1.volume.oc1.iad.abuwcljtmkbbawsph3ktwwkbncv6j2ph5fkh35tf4ykv5g64g5f4hsg5avrq,300,AVAILABLE,
DRTB-JUMP-7.170,ocid1.volume.oc1.iad.abuwcljtwmfaavnvaag5qrajzc42mlqt4k45nbiwcebjcjrjgo4oe6kdy76a,50,AVAILABLE,
DRYAS-QA-DB-6.250,ocid1.volume.oc1.iad.abuwcljthfvjmmenmzd2cf2h7y5mptbjadxkitr4wqqguypdjsludhgqfh4a,300,AVAILABLE,
DRTB-DB.4.26,ocid1.volume.oc1.iad.abuwcljtrb7igxpyddzmqyrbvfxfq6ywftdx2rc6qhjdxmt2fju5czu7wkpa,600,AVAILABLE,
DRKU-DB-3.112-OPT,ocid1.volume.oc1.iad.abuwcljtho7noh3vmlwyg5p5sr2wp6rys3dsyivo3atgf7yeib5aqfg44qoa,400,AVAILABLE,
DRCOSTCO-QA-DB-3.1,ocid1.volume.oc1.iad.abuwcljtzupybpcoq2mkooini5olgdygvsbyspwehgh5le2dyvacrrkqrila,350,AVAILABLE,
DRFC-QADB-4.220,ocid1.volume.oc1.iad.abuwcljt5zg6gmos5twaand4jfwk7iizm7v7i4urycff257owsplgshmuuba,1000,AVAILABLE,
FDM QA ES2-1.140,ocid1.volume.oc1.iad.abuwcljtkouoqpe53hne37hwxmlawxd72ty4srzddukq7f23txz2q36tevna,100,AVAILABLE,
FDM-JENKINGS-1.151,ocid1.volume.oc1.iad.abuwcljtgzjx5n5reyeuvb42u25kooa4d7pwc2eeslu3yru5xt7l365ma3na,50,AVAILABLE,
DRTA-QADB-2.156,ocid1.volume.oc1.iad.abuwcljtpjrid6oltpoemmkw5aq5kehnepddmid3rxqtz72mdrlrjcqq2tda,50,AVAILABLE,
DRTA-QADB-2.155,ocid1.volume.oc1.iad.abuwcljtd3ch244nohtchufwu573c2fwhhpyhalifdhgfmqizhkkj5m2zfna,50,AVAILABLE,
DSN-OPSDR-5.3,ocid1.volume.oc1.iad.abuwcljtrft2fduv5xqgchv5tpflp7moc4hkc3a6n4umom2tcawzg5ki45ja,100,AVAILABLE,
17d40eda-823d-455a-8a68-637c756234d0,ocid1.volume.oc1.iad.abuwcljtviyltgbolqat3se6yeas5qalayd5urtfrmrvz7gks7wdhsm5enta,50,AVAILABLE,
f29621ee-ae13-4d67-b540-a6364db67156,ocid1.volume.oc1.iad.abuwcljtgqv5notr565jjszvoparcafdsndhliiaqitll5zheodzorfjbt5a,50,AVAILABLE,
ca41290f-1918-4e89-ab26-06ac7d3d39f4,ocid1.volume.oc1.iad.abuwcljt4drlw3tlsw427nzimkq3vvrtgpqs4eocjeqpslcudcsv6hfwfmyq,50,AVAILABLE,
45860171-503c-4fc1-b53c-01e00754a651,ocid1.volume.oc1.iad.abuwcljteprhyowqdfvxsrkmfgj7cmm7lrawyfwtwfsg5wu7p6i2duodw33a,50,AVAILABLE,
